room,min,25,median,75,upperWhisker,max
Balcony,0.0,5.316376205984769,9.20005209106769,13.543149282137527,25.883308896366664,27.695914263075
Loggia,0.0,2.87535043188504,4.37718441983064,7.6952907204628005,14.925201153329441,17.142415788438598
Sunroom,0.0,2.02214110123678,3.42741106473483,5.154891508491071,9.854017119372507,12.8369941976335
Room,0.0,0.48196104227806746,0.763962473132256,1.3087887001943739,2.5490301870688334,7.291184864086139
Dining,0.0,0.38307263789734597,0.740776740931548,1.537144293109205,3.2682517759269936,8.70311981391907
Living Dining,0.0,0.42552697827813807,0.720252273932886,1.2811205965399224,2.5645110239325986,7.3914961031505
Bedroom,0.0,0.409533038228599,0.6658961107771244,1.2608876055368192,2.5379194564991496,5.3064276159500094
Living,0.0,0.34744701876025075,0.5916475767139029,1.10766581329111,2.2479940050873988,5.548624888988969
Kitchen,0.0,0.234508176495351,0.501360696907698,0.9336479878704999,1.9823577049332228,8.0095459623415
Corridor,0.0,0.037386359963230045,0.0858912586212203,0.17231667748120258,0.37471215375816136,7.029779942009755
Bathroom,0.0,0.0,0.008027175496168,0.24926594702845825,0.6231648675711456,5.51217320690984
Storeroom,0.0,0.0,0.00104689594757344,0.032524046538447995,0.08131011634611998,16.0600397148911
